          	      Aprime      nprime         r^2Reduced mass       500 K      1500 K
C14H10+BIN18	     3150.89    -1.96651           1   0.0155197  0.00178904
C14H10+BIN19	     2968.35    -1.96765           1   0.0145177  0.00167144
C14H10+BIN20	     2793.83    -1.96876           1   0.0135703  0.00156046
C14H10+BIN21	     2628.24    -1.96983           1    0.012681  0.00145649
C14H10+BIN22	     2472.08    -1.97086           1   0.0118511  0.00135962
C14H10+BIN23	     2325.48    -1.97186           1   0.0110797  0.00126974
C14H10+BIN24	     2188.32    -1.97281           1   0.0103649  0.00118658
C6H5CCC6H5+BIN 1	     4614.43    -1.95803    0.999999   0.0239587  0.00278771
C6H5CCC6H5+BIN 2	     4469.41    -1.95883    0.999999   0.0230905  0.00268432
C6H5CCC6H5+BIN 3	     4446.48    -1.95896    0.999999   0.0229538  0.00266806
C6H5CCC6H5+BIN 4	     4506.02    -1.95862    0.999999    0.023309  0.00271033
C6H5CCC6H5+BIN 5	     4585.99    -1.95818    0.999999   0.0237879  0.00276736
C6H5CCC6H5+BIN 6	     4648.45    -1.95784    0.999999   0.0241634   0.0028121
C6H5CCC6H5+BIN 7	     4679.42    -1.95767    0.999999   0.0243501  0.00283436
C6H5CCC6H5+BIN 8	     4672.82    -1.95771    0.999999   0.0243102  0.00282961
C6H5CCC6H5+BIN 9	     4624.57    -1.95797    0.999999   0.0240196  0.00279497
C6H5CCC6H5+BIN10	     4536.94    -1.95845    0.999999   0.0234939  0.00273234
C6H5CCC6H5+BIN11	      4415.1    -1.95913    0.999999   0.0227671  0.00264585
C6H5CCC6H5+BIN12	     4265.66    -1.95997    0.999999   0.0218825  0.00254071
C6H5CCC6H5+BIN13	     4095.68    -1.96093    0.999999   0.0208854  0.00242239
C6H5CCC6H5+BIN14	      3919.2    -1.96194    0.999999   0.0198604  0.00230094
C6H5CCC6H5+BIN15	     3727.66    -1.96305           1   0.0187597  0.00217077
C6H5CCC6H5+BIN16	     3533.21     -1.9642           1   0.0176549  0.00204035
C6H5CCC6H5+BIN17	     3339.92    -1.96535           1   0.0165692  0.00191245
