Bin_name(1)         nC[-](2)            nH[-](3)            nO[-](4)            H/C[-](5)           MW[kg/kmol](6)      density[kg/m3](7)   mass[kg](8)         volume[m3](9)       Dsph[m](10)         Dcol[m](11)         Dpp[m](12)          Df[-](13)           numPP[#](14)        Bin_section(15)     
BIN14BJ             1.600000e+05        3.199900e+04        0.000000e+00        1.999937e-01        1.954015e+06        1.437500e+03        3.244525e-21        2.257061e-24        1.627477e-08        1.627477e-08        1.627477e-08        3.000000            1.0                 14                  
BIN14BJliq          1.600000e+05        3.199900e+04        0.000000e+00        1.999937e-01        1.954015e+06        1.437500e+03        3.244525e-21        2.257061e-24        1.627477e-08        1.627477e-08        1.627477e-08        3.000000            0.0                 14                  
BIN14BJaggI         1.600000e+05        3.199900e+04        0.000000e+00        1.999937e-01        1.954015e+06        1.437500e+03        3.244525e-21        2.257061e-24        1.627477e-08        6.234680e-08        2.272035e-09        1.800000            480.3               14                  
BIN14BJaggII        1.600000e+05        3.199900e+04        0.000000e+00        1.999937e-01        1.954015e+06        1.437500e+03        3.244525e-21        2.257061e-24        1.627477e-08        1.692565e-08        1.313829e-08        1.800000            2.0                 14                  
BIN14CJ             1.600000e+05        8.000000e+03        0.000000e+00        5.000000e-02        1.929824e+06        1.437500e+03        3.204357e-21        2.229118e-24        1.620733e-08        1.620733e-08        1.620733e-08        3.000000            1.0                 14                  
BIN14CJliq          1.600000e+05        8.000000e+03        0.000000e+00        5.000000e-02        1.929824e+06        1.437500e+03        3.204357e-21        2.229118e-24        1.620733e-08        1.620733e-08        1.620733e-08        3.000000            0.0                 14                  
BIN14CJaggI         1.600000e+05        8.000000e+03        0.000000e+00        5.000000e-02        1.929824e+06        1.437500e+03        3.204357e-21        2.229118e-24        1.620733e-08        6.191680e-08        2.272035e-09        1.800000            474.4               14                  
BIN14CJaggII        1.600000e+05        8.000000e+03        0.000000e+00        5.000000e-02        1.929824e+06        1.437500e+03        3.204357e-21        2.229118e-24        1.620733e-08        1.680891e-08        1.313829e-08        1.800000            1.9                 14                  
BIN15AJ             3.200000e+05        6.399900e+04        0.000000e+00        1.999969e-01        3.908031e+06        1.475000e+03        6.489051e-21        4.399357e-24        2.032966e-08        2.032966e-08        2.032966e-08        3.000000            1.0                 15                  
BIN15AJliq          3.200000e+05        6.399900e+04        0.000000e+00        1.999969e-01        3.908031e+06        1.475000e+03        6.489051e-21        4.399357e-24        2.032966e-08        2.032966e-08        2.032966e-08        3.000000            0.0                 15                  
BIN15AJaggI         3.200000e+05        6.399900e+04        0.000000e+00        1.999969e-01        3.908031e+06        1.475000e+03        6.489051e-21        4.399357e-24        2.032966e-08        9.163326e-08        2.272035e-09        1.800000            960.6               15                  
BIN15AJaggII        3.200000e+05        6.399900e+04        0.000000e+00        1.999969e-01        3.908031e+06        1.475000e+03        6.489051e-21        4.399357e-24        2.032966e-08        2.487621e-08        1.313829e-08        1.800000            3.9                 15                  
BIN15BJ             3.200000e+05        1.600000e+04        0.000000e+00        5.000000e-02        3.859648e+06        1.475000e+03        6.408714e-21        4.344891e-24        2.024542e-08        2.024542e-08        2.024542e-08        3.000000            1.0                 15                  
BIN15BJliq          3.200000e+05        1.600000e+04        0.000000e+00        5.000000e-02        3.859648e+06        1.475000e+03        6.408714e-21        4.344891e-24        2.024542e-08        2.024542e-08        2.024542e-08        3.000000            0.0                 15                  
BIN15BJaggI         3.200000e+05        1.600000e+04        0.000000e+00        5.000000e-02        3.859648e+06        1.475000e+03        6.408714e-21        4.344891e-24        2.024542e-08        9.100126e-08        2.272035e-09        1.800000            948.7               15                  
BIN15BJaggII        3.200000e+05        1.600000e+04        0.000000e+00        5.000000e-02        3.859648e+06        1.475000e+03        6.408714e-21        4.344891e-24        2.024542e-08        2.470464e-08        1.313829e-08        1.800000            3.9                 15                  
